phi,theta,gain_total,gain_total_db,gain_phi,gain_phi_db,gain_theta,gain_theta_db
0.0,-180.0000000005848,-9.35696038173099,-9.35696038173099,0.1115091200000001,-9.52689611506395,0.004449746595999977,-23.5166472050052
0.0,-176.99999999828322,-9.95095085849787,-9.95095085849787,0.07222993999999995,-11.412827458995,0.028905860000000023,-15.390141050746
0.0,-174.00000000171124,-10.6336881031764,-10.6336881031764,0.04011510610000001,-13.966920547993,0.046308262399999696,-13.3434151449843
0.0,-170.99999999940965,-9.71387880005049,-9.71387880005049,0.07962125000000042,-10.9897100856753,0.02718880039999977,-15.6560995354356
0.0,-168.00000000283765,-6.69298429435852,-6.69298429435852,0.12879952,-8.90085755467975,0.08534233999999986,-10.688354534013
0.0,-165.0000000005361,-6.19892363632055,-6.19892363632055,0.06097150239999964,-12.1487310338729,0.17897125000000014,-7.47216728624441
0.0,-161.9999999982345,-6.00581231081257,-6.00581231081257,0.0054719236999999825,-22.6185996700797,0.24538077000000016,-6.10159475065098
0.0,-159.0000000016625,-6.42928943154914,-6.42928943154914,0.005972800000000009,-22.2382202741777,0.2215741700000002,-6.54480868854713
0.0,-155.99999999936094,-6.26511457208325,-6.26511457208325,0.04791650560000031,-13.1951486119414,0.18839699999999981,-7.2492601711543
0.0,-153.0000000027889,-5.95546799665903,-5.95546799665903,0.04568810000000006,-13.4019690227857,0.2080894500000001,-6.81749937678471
0.0,-150.00000000048735,-5.93953064841083,-5.93953064841083,0.02355118089999999,-16.2798731165629,0.23115937000000022,-6.3608849782694
0.0,-146.99999999818576,-5.13844974979466,-5.13844974979466,0.019099569705639845,-17.1897641686595,0.2872060924999998,-5.41806351647472
0.0,-144.00000000161376,-3.92959205534074,-3.92959205534074,0.026461446399999825,-15.7738642067874,0.37815245000000036,-4.22333081521915
0.0,-140.9999999993122,-2.77233391162303,-2.77233391162303,0.04129588999999965,-13.8409316963033,0.48686545000000037,-3.12591043705782
0.0,-138.00000000274017,-2.32068864559751,-2.32068864559751,0.04798057999999958,-13.1893450648747,0.5380646500000006,-2.69165539479682
0.0,-135.0000000004386,-2.43460930522812,-2.43460930522812,0.04947161000000037,-13.0564395576199,0.5214008199999997,-2.8282829015811
0.0,-131.99999999813704,-2.77525956871582,-2.77525956871582,0.03251475999999999,-14.8791944728611,0.4952908999999997,-3.05139651254554
0.0,-129.00000000156504,-3.39044249710849,-3.39044249710849,0.009749209599999977,-20.1103059253459,0.44834599999999963,-3.48386700524592
0.0,-125.99999999926347,-4.31849722335198,-4.31849722335198,0.010330082500000068,-19.8589621002426,0.3596260900000001,-4.44148808785266
0.0,-123.00000000269145,-4.81881092242366,-4.81881092242366,0.012105520100000048,-19.1701654684945,0.3175944499999999,-4.98127095525278
0.0,-120.00000000038987,-4.08685205751039,-4.08685205751039,0.01922485490000012,-17.1613692936097,0.3709998799999996,-4.30626230857586
0.0,-116.99999999808831,-3.54704971533973,-3.54704971533973,0.009330840499999956,-20.3007923427373,0.4325396800000004,-3.63974045390906
0.0,-114.0000000015163,-4.08762085596689,-4.08762085596689,0.006145412499999985,-22.1144896054625,0.3840102499999998,-4.15657183291248
0.0,-110.99999999921471,-5.54520161495403,-5.54520161495403,0.009592676869000095,-20.180601845693,0.26932744000000025,-5.69719396928302
0.0,-108.00000000264272,-6.64341382293857,-6.64341382293857,0.014921432500000121,-18.2618948135521,0.20167864999999982,-6.95340074409719
0.0,-105.00000000034115,-6.86395429052916,-6.86395429052916,0.008777940100000084,-20.5660738707366,0.19709751439999998,-7.05318852580886
0.0,-101.99999999803956,-7.06497553643525,-7.06497553643525,0.001007395360999992,-29.9680005337581,0.1955559099240001,-7.08729054635922
0.0,-99.00000000146755,-7.47794736735419,-7.47794736735419,0.0035603208000000138,-24.485108684898,0.1751728925000001,-7.56533098787299
0.0,-95.99999999916598,-7.46061706056348,-7.46061706056348,0.0033319018010000132,-24.7730780675873,0.17611596250000014,-7.5420127940187
0.0,-93.00000000259399,-6.56724628979768,-6.56724628979768,0.007328830500000071,-21.349653224829,0.2131035400000002,-6.7140933588084
0.0,-90.0000000002924,-6.08506861844627,-6.08506861844627,0.004659081999999969,-23.3169964588702,0.24165721000000032,-6.16800242873528
0.0,-86.99999999799083,-6.13784237827522,-6.13784237827522,0.0006860154409999939,-31.6366610897893,0.24265524999999988,-6.15010308010906
0.0,-84.00000000141883,-6.16299189091743,-6.16299189091743,0.002340955400000026,-26.3060686042486,0.2395952200000001,-6.20521850507814
0.0,-80.99999999911725,-6.25730166074108,-6.25730166074108,0.005117443700000048,-22.9094692656752,0.2316215700000003,-6.35220998935226
0.0,-78.00000000254525,-6.83997794548881,-6.83997794548881,0.005945646149000053,-22.2580094109636,0.20106954000000019,-6.96653715638307
0.0,-75.00000000024367,-7.64617080210198,-7.64617080210198,0.004823724421000042,-23.1661751136908,0.1671186500000002,-7.769750812848
0.0,-71.9999999979421,-7.85263741334603,-7.85263741334603,0.005136876704000034,-22.8930085814466,0.15882249999999995,-7.99087972100051
0.0,-69.00000000137008,-7.80083255359189,-7.80083255359189,0.006744059089000018,-21.7107863323589,0.15918281999999995,-7.98103805830844
