2
Frequency=1700(MHz)

Phi	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
0	-3.1415926536	-1.14740890759009	-3.1755537279269	-5.42894216270823	1.29309063303236	-2.87191590417654
0	-3.089232776	-1.51894984115312	-3.47182111010122	-5.92996478748391	1.31091445138907	-2.63668569476804
0	-3.0368728985	-1.18188352388114	-2.83449856502112	-6.17814588326393	1.26184311020354	-2.40099655014177
0	-2.9845130209	-0.452472868560315	-1.83735043206567	-6.09025613972837	1.19478698250977	-2.20925715568977
0	-2.9321531434	-0.0372092154192983	-1.34983124059319	-5.87344861680704	1.14576397534624	-2.09128390365139
0	-2.8797932658	-0.0604556644830459	-1.46970581151528	-5.63400589684384	1.13215145388831	-2.0402613053669
0	-2.8274333882	-0.104952315388665	-1.69915321841704	-5.23010950164547	1.15573290977667	-2.01835581072629
0	-2.7750735107	0.107846411814191	-1.68322630727557	-4.60366705016328	1.17424047008978	-1.9774281728952
0	-2.7227136331	0.416477819208385	-1.58705734932795	-3.90671904532204	1.13915153863373	-1.90682737421027
0	-2.6703537556	0.647768352441981	-1.56782868000812	-3.33597104010132	1.06224354027305	-1.84359012206906
0	-2.617993878	0.761274111724457	-1.57867591616161	-3.04207345184553	1.00641268745611	-1.82035358640396
0	-2.5656340004	0.70722790765461	-1.63854418549464	-3.08797789021432	1.01217141014055	-1.81214115923015
0	-2.5132741229	0.556484694979546	-1.73731441475599	-3.31234148680018	1.05375604669525	-1.74920918846413
0	-2.4609142453	0.653082337078376	-1.68110519814608	-3.15834952698221	1.07778372218699	-1.61745023654834
0	-2.4085543678	1.21040705064253	-1.3265545196748	-2.33120328412336	1.06190996815069	-1.53085684402191
0	-2.3561944902	1.79173614945407	-1.00492450011502	-1.44325871076159	1.02169344734091	-1.56603074709667
0	-2.3038346126	1.86116558166175	-1.25832257700491	-1.04262413899164	0.975259882715114	-1.65951460365149
0	-2.2514747351	1.34854824049848	-2.0653049031642	-1.2925297962362	0.943100467983139	-1.7074581708289
0	-2.1991148575	0.801748320718031	-2.53874012702572	-1.90170290323197	0.964514631275196	-1.65822749230965
