2
Theta=90.0000000000002(deg)

Frequency	Phi	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
902000000	0	2.03577719689741	-5.07175831482419	1.09564306401191	3.12131207728099	-2.21598989897696
902000000	0.05235987756	2.14663960157496	-4.70693546447951	1.14283094905008	-3.08477424749282	-2.21268427923117
902000000	0.10471975512	2.23841353902462	-4.35805575694299	1.16517914099828	-3.01200974115347	-2.21436739256453
902000000	0.15707963268	2.31783102085994	-3.91875018185695	1.13811470457751	-2.94404312915298	-2.22475374519638
902000000	0.20943951024	2.39851035673054	-3.30256316380941	1.0371674734242	-2.89423726560153	-2.24255745745881
902000000	0.2617993878	2.4844315915184	-2.5397603195939	0.844688956257815	-2.87910042692894	-2.26238634261849
902000000	0.31415926536	2.56073305069047	-1.76966568598612	0.561413957590021	-2.90473156416285	-2.27690102339841
902000000	0.36651914292	2.59388041896083	-1.15475999151515	0.214446925200291	-2.96373128478819	-2.27947550897543
902000000	0.41887902048	2.5433128229202	-0.81869193308511	-0.14164300792817	-3.04265657046055	-2.2677470175549
902000000	0.47123889804	2.37962350249406	-0.828799100854734	-0.441199089672915	-3.12736762569495	-2.24519221480934
902000000	0.5235987756	2.1087056132548	-1.17941258584136	-0.640484646141941	3.07862081822962	-2.21989539627516
902000000	0.5759586532	1.77320574374201	-1.78563472609736	-0.750132560392397	3.02137837796935	-2.20093117173631
902000000	0.6283185307	1.43966972715512	-2.47207931420493	-0.824511104288703	2.99283415952714	-2.19226013350305
902000000	0.6806784083	1.15750864284215	-3.02032809346833	-0.933552378047575	2.99008436110485	-2.19240491208716
902000000	0.7330382858	0.93341116062827	-3.29676639701345	-1.12559125436056	2.99372175682583	-2.19539953756863
902000000	0.7853981634	0.72603415023332	-3.378567709253	-1.41094680378973	2.97886962513151	-2.19453297812981
902000000	0.837758041	0.475318391472078	-3.48467407021852	-1.75615587181205	2.93291948651431	-2.18528280294019
902000000	0.8901179185	0.135688286327088	-3.81887098828524	-2.09943904000154	2.85956182772814	-2.16678095980887
902000000	0.9424777961	-0.29988799422357	-4.48817578121969	-2.38449786218626	2.77248090768242	-2.14222868478887
902000000	0.9948376736	-0.794055319306423	-5.50055774835556	-2.5876881668599	2.69201438327332	-2.11712991049527
902000000	1.0471975512	-1.28547224207449	-6.76170744053474	-2.73261180066036	2.64111600853002	-2.09512418195546
902000000	1.0995574288	-1.72400166154958	-8.07137170784541	-2.86971003456015	2.63783960557415	-2.07677304328384
902000000	1.1519173063	-2.08161337213943	-9.14667386096881	-3.03207595822701	2.67576584024475	-2.05911071458173
902000000	1.2042771839	-2.36589857804715	-9.85883870953429	-3.21779993604135	2.71496516046292	-2.03871907492704
902000000	1.2566370614	-2.59576395106625	-10.3969436187033	-3.38365364384582	2.71318448678406	-2.01404129937953
902000000	1.308996939	-2.7760414101416	-11.0845334363288	-3.46971859235572	2.65951764348492	-1.98708285033993
902000000	1.3613568166	-2.88246981039673	-12.132755446889	-3.43193392718876	2.57108097751288	-1.9632121540497
902000000	1.4137166941	-2.89852650132774	-13.6422641814107	-3.28080904889875	2.47962144990893	-1.94775364129772
902000000	1.4660765717	-2.83770898625831	-15.6091089523003	-3.07341815191227	2.41850687758454	-1.94347259040387
902000000	1.5184364492	-2.74047029654129	-17.8572347525027	-2.87626407200468	2.40544378554229	-1.94995802782806
902000000	1.5707963268	-2.65936273428673	-20.0101538528416	-2.74003655889578	2.40010049570141	-1.96431146621086
902000000	1.6231562044	-2.62783406774093	-21.6911815642498	-2.68205384511795	2.27853967257986	-1.98344848944148
902000000	1.6755160819	-2.63778778882472	-22.3379896027159	-2.68457220895484	1.93241638500641	-2.00404131235715
902000000	1.7278759595	-2.65518197011865	-21.2094911757509	-2.71619187032628	1.47471891450055	-2.02374425241075
902000000	1.780235837	-2.64852120432248	-19.2200590486142	-2.7452279776296	1.10113922388914	-2.04100785600278
902000000	1.8325957146	-2.61782189095872	-17.4868584274908	-2.76172020555575	0.820137307816294	-2.05497341733367
902000000	1.8849555922	-2.57193114368135	-16.0722393147051	-2.7703751160049	0.593472815439714	-2.0662564177013
902000000	1.9373154697	-2.50667125703558	-14.6322802163451	-2.78138912318142	0.418601968932097	-2.07541975429608
902000000	1.9896753473	-2.39693690808007	-12.9875530905257	-2.79358384756292	0.308632390302173	-2.08393717515391
902000000	2.0420352248	-2.2091930363683	-11.240115985257	-2.78910920915957	0.254834047337217	-2.09237065836578
902000000	2.0943951024	-1.93602539661378	-9.66218460893971	-2.73899368284907	0.230150179464412	-2.10094277943903
902000000	2.14675498	-1.62694520019076	-8.52059811220901	-2.62039272040739	0.212669214580167	-2.10931433598924
902000000	2.1991148575	-1.3703651336361	-7.97392027046762	-2.44161519918497	0.196757071876371	-2.11753105433148
902000000	2.2514747351	-1.22329075624859	-8.02622963663022	-2.24036362685512	0.193492070470758	-2.12573265485822
902000000	2.3038346126	-1.17135388168751	-8.47665627734496	-2.06501116334589	0.230291442887311	-2.13455848264243
902000000	2.3561944902	-1.1372107040385	-8.80289659414874	-1.95256384754187	0.339002241103197	-2.14497748642855
902000000	2.4085543678	-1.00482269147992	-8.27022476276067	-1.90764780774379	0.504682320631496	-2.15696793674156
902000000	2.4609142453	-0.661154840481502	-6.72372029444895	-1.89664332508915	0.643848090042371	-2.16977119625779
902000000	2.5132741229	-0.0889801730918872	-4.83836956863729	-1.86084560043834	0.706695151258168	-2.18141064552759
902000000	2.5656340004	0.585283639149923	-3.23365376142832	-1.74357035821195	0.708059673198738	-2.18965333307299
902000000	2.617993878	1.17964264378859	-2.16025796472656	-1.52431628303269	0.674180179645144	-2.19341498412123
902000000	2.6703537556	1.57768752694675	-1.64352638202956	-1.23146879524827	0.623466083263689	-2.19316229678457
902000000	2.7227136331	1.75953461615657	-1.59821631650606	-0.92906430055921	0.566664684146011	-2.19121399524117
902000000	2.7750735107	1.76880092483933	-1.87493895121107	-0.688798050053823	0.51228130397117	-2.19047952579364
902000000	2.8274333882	1.66413878564099	-2.30488255473515	-0.561281679899554	0.46673815837726	-2.19345156210477
902000000	2.8797932658	1.49380039763299	-2.74485978093409	-0.560064756779914	0.432235335351524	-2.20164717388149
902000000	2.9321531434	1.2884377293064	-3.13157132562974	-0.659335077675849	0.404609327013808	-2.21559207290565
902000000	2.9845130209	1.06765197464001	-3.48357012134596	-0.807580891581207	0.37490450554048	-2.23499654908732
902000000	3.0368728985	0.850264061745948	-3.85397772188858	-0.944525207811928	0.335402424439254	-2.25812606224952
902000000	3.089232776	0.65882289776121	-4.26236050396793	-1.02900264353721	0.28377450725859	-2.28241422562868
902000000	3.1415926536	0.514800036815511	-4.6676169694859	-1.05424518318518	0.223848322954204	-2.30451778035027
902000000	3.1939525311	0.423075492357303	-4.99942495764643	-1.0454982243881	0.162166927598457	-2.32197275882399
902000000	3.2463124087	0.36779387449566	-5.21873706692843	-1.03649067827504	0.102118338204143	-2.33308735088938
902000000	3.2986722863	0.323289681736162	-5.34233769753482	-1.05117596760449	0.0388918933574588	-2.33767808812434
902000000	3.3510321638	0.280229932503256	-5.41554805189961	-1.08306413932173	-0.0372237909989284	-2.33728951630853
902000000	3.4033920414	0.259995014410102	-5.44641850744981	-1.09938359018273	-0.13089382373131	-2.33500645898806
902000000	3.4557519189	0.309000503122401	-5.38330520298117	-1.05557473001843	-0.231590832102204	-2.33503320569783
902000000	3.5081117965	0.457820162147217	-5.1927117538301	-0.922278839367831	-0.313471074774092	-2.34093930377415
902000000	3.5604716741	0.697652880952102	-4.91142118814315	-0.698056673521138	-0.349808675216879	-2.35343587650035
902000000	3.6128315516	0.985136498492646	-4.61723424755757	-0.413116464205175	-0.3319207897533	-2.36983944573396
902000000	3.6651914292	1.26185374012151	-4.38016451441455	-0.121434288998336	-0.274660582113069	-2.38502437671116
902000000	3.7175513067	1.46936240422437	-4.28992555146623	0.129256262578529	-0.207133320502853	-2.39382312316888
902000000	3.7699111843	1.55530734529634	-4.47010838328743	0.307524065006878	-0.159801767254019	-2.3927851721876
902000000	3.8222710619	1.50508717014692	-5.00814060645589	0.408228092310719	-0.154760428851983	-2.38129382071241
902000000	3.8746309394	1.36228495959238	-5.85269757931957	0.447725707580428	-0.204859256280162	-2.361701486234
902000000	3.926990817	1.20551288080546	-6.74126437492698	0.446011883350657	-0.307525687522897	-2.33866185624952
902000000	3.9793506945	1.08860233476968	-7.30930168735343	0.410224966875075	-0.432310559199607	-2.31753674216295
902000000	4.0317105721	1.01435500223644	-7.38829949261264	0.336780247971173	-0.530703271867477	-2.30243163577139
902000000	4.0840704497	0.94564221198241	-7.12379973009554	0.209193818437246	-0.580192722657317	-2.29527411605013
902000000	4.1364303272	0.850965155137346	-6.75104079263399	0.0223435513573347	-0.597234224473847	-2.29613820269279
902000000	4.1887902048	0.716298187915192	-6.44131627021537	-0.21181849029149	-0.610536788681626	-2.30451016781922
902000000	4.2411500823	0.553718857242062	-6.27455075749448	-0.456694197448191	-0.636169801452102	-2.32004051409653
902000000	4.2935099599	0.40519970609393	-6.24131922619499	-0.654106947648806	-0.670255517992147	-2.34239437507359
902000000	4.3458698375	0.315555984952812	-6.30874258763969	-0.749908803984568	-0.695955947723423	-2.37076442512269
902000000	4.398229715	0.311637117667253	-6.45996784319382	-0.713742117969809	-0.695276996683308	-2.40173280068923
902000000	4.4505895926	0.382065429260665	-6.70808434088068	-0.562281139123636	-0.665409953321093	-2.43057099630096
902000000	4.5029494701	0.488052196435656	-7.08746088490822	-0.346159194759193	-0.623509201040717	-2.45222407928071
902000000	4.5553093477	0.577267411809213	-7.66235538291868	-0.128448858142639	-0.599126658817773	-2.4637609475637
902000000	4.6076692253	0.620723989581252	-8.45994697379276	0.047868341448653	-0.623636172542119	-2.46512770903605
902000000	4.6600291028	0.627155910105067	-9.35922222267117	0.168064822934113	-0.71617726606126	-2.45853388849179
902000000	4.7123889804	0.633524644858002	-10.0327604825901	0.244045480351817	-0.862686494628199	-2.44790008959035
902000000	4.7647488579	0.664287645564156	-10.2307714862517	0.295667516415726	-1.00531243864007	-2.43706544957507
902000000	4.8171087355	0.716068682248871	-10.0938444835437	0.339824857283859	-1.08956402782205	-2.42847088120072
902000000	4.8694686131	0.770063127585509	-9.90227199696573	0.381151172904248	-1.11176342423361	-2.42256458068364
902000000	4.9218284906	0.805426643265919	-9.82495456351879	0.412563505677762	-1.1050697187104	-2.41772999736937
902000000	4.9741883682	0.811890351663484	-9.92060244843043	0.428571652059532	-1.10756912135677	-2.4123575563193
902000000	5.0265482457	0.790974987590766	-10.2002277782412	0.430769923902321	-1.14087470272995	-2.40567236712535
902000000	5.0789081233	0.759639940129645	-10.6185008287617	0.431331341196885	-1.20113578495207	-2.3982600372686
902000000	5.1312680009	0.737800686985164	-11.1681902737162	0.448348079303651	-1.26249910676352	-2.39152449483564
902000000	5.1836278784	0.735448667674748	-11.9247854486051	0.493454771517106	-1.30088889806212	-2.38639517000989
902000000	5.235987756	0.750646621756281	-12.9984627388593	0.56349334516356	-1.31630724274128	-2.38197598231357
902000000	5.2883476335	0.776375886942203	-14.4226754790959	0.643170303066678	-1.34914820975126	-2.37628898726527
902000000	5.3407075111	0.804045973876214	-15.971102483398	0.711815845981023	-1.48264155847126	-2.36707424853051
902000000	5.3930673887	0.834659039114564	-16.6518267944392	0.756489356321734	-1.77419421552025	-2.35340753778639
902000000	5.4454272662	0.882640959118204	-15.5552816675054	0.782877691996383	-2.07321932885114	-2.33648528665808
902000000	5.4977871438	0.949623756240719	-13.9169609103597	0.805642816859895	-2.20893608902282	-2.31919345664913
902000000	5.5501470213	1.01803178145801	-13.022821327949	0.843285879721053	-2.19942797705772	-2.30425897019326
902000000	5.6025068989	1.06716636386861	-13.2450743380427	0.903208464563282	-2.09056932874639	-2.29242411479262
902000000	5.6548667765	1.09154041049334	-14.6939345344468	0.97538711456539	-1.90688189370387	-2.28173956390941
902000000	5.707226654	1.09849149997912	-17.7364444063219	1.04132442931875	-1.67253524270262	-2.26839660539876
902000000	5.7595865316	1.09014731614303	-24.8203669581951	1.07899692032295	-1.42618707540364	-2.24970276216738
902000000	5.8119464091	1.08354210985345	-29.1959385437969	1.07946793242038	1.95430039312404	-2.22549580871495
902000000	5.8643062867	1.11793205751875	-16.8700789763535	1.04835639560352	2.13448191033132	-2.19956654829567
902000000	5.9166661643	1.21930031564943	-11.864573724696	1.00037437618617	2.28490677147265	-2.17830250163171
902000000	5.9690260418	1.3651731416481	-9.07722540691486	0.954083220533807	2.41433633796928	-2.16786925813385
902000000	6.0213859194	1.50532973930431	-7.52074606815331	0.924720680112001	2.53651403622497	-2.17071767371475
902000000	6.0737457969	1.61323893646578	-6.70491801477508	0.921233423154162	2.6620733615972	-2.18402002034594
902000000	6.1261056745	1.70316086834206	-6.24925139667294	0.944735918495407	2.79289182175112	-2.20075323335748
902000000	6.1784655521	1.80111558126488	-5.87884790946196	0.988705240298925	2.91999986424646	-2.21347641771026
902000000	6.2308254296	1.91498660970479	-5.47750407197056	1.04100625574677	3.03083791860348	-2.2180762913902
915000000	0	2.23091666891411	-4.65745822251095	1.2361115158132	2.94858905933138	-2.45214051521519
