2
Frequency=960(MHz)

Phi	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
0	-3.1415926536	-3.72317821533149	-3.82461815070226	-20.0895529341464	1.59734384849535	-0.594195602696721
0	-3.089232776	-5.25495304419244	-5.26433517675968	-31.91447072767	1.6822673821637	-1.44915991266776
0	-3.0368728985	-6.02861737408496	-6.11803829108308	-22.9367030386392	1.89350626689016	2.05664578206939
0	-2.9845130209	-5.13280788785992	-5.45414575082522	-16.6007102981436	2.05958532627221	1.46049750713484
0	-2.9321531434	-3.81871979528069	-4.31021173657852	-13.5248275192444	2.05758455091293	0.952256806600894
0	-2.8797932658	-3.08283549028993	-3.67072325102192	-12.0583629651728	1.96170217030441	0.583667370591308
0	-2.8274333882	-3.24426235289232	-3.83492873564537	-12.2006693760825	1.87415430663118	0.385915696561724
0	-2.7750735107	-4.13050472010823	-4.70478060736202	-13.2011163564047	1.8702051417407	0.385430020240051
0	-2.7227136331	-4.91919257057348	-5.63462319500997	-13.1041661855097	1.9783759410166	0.534062011105798
0	-2.6703537556	-4.8059618181045	-5.84670058956414	-11.5203702141265	2.12073038377646	0.628657801441938
0	-2.617993878	-4.28027504581334	-5.59376733674207	-10.1140492773085	2.19255096901856	0.647666416328531
0	-2.5656340004	-4.09320326153673	-5.5524685100902	-9.53892557004458	2.20906704059219	0.680454630514279
0	-2.5132741229	-4.19942724106688	-5.82645208363005	-9.25147296548433	2.24978294435384	0.75256923965007
0	-2.4609142453	-3.96536337973443	-5.90471516637901	-8.4002919674563	2.35954362642821	0.799162175095712
0	-2.4085543678	-3.02844598245551	-5.25921434931334	-6.98948963278086	2.4849363377344	0.762153892555107
0	-2.3561944902	-1.85067778022857	-4.19756180879743	-5.6443315851715	2.54464124004453	0.674800763358288
0	-2.3038346126	-1.00726314311965	-3.32895874263068	-4.83630906124361	2.5362150030474	0.583259403070057
0	-2.2514747351	-0.643067931679009	-2.87725359099042	-4.59902665700776	2.49619744940415	0.501474378044015
0	-2.1991148575	-0.579978832034036	-2.7494274314732	-4.6339914003896	2.45163381736663	0.429788110212845
