2
Phi=0(deg)

Frequency	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
902000000	-3.1415926536	-2.38749083726094	-2.88312112925839	-12.059214148282	2.71254301987092	1.09262840455394
902000000	-3.089232776	-3.33680145970027	-3.79381625341525	-13.3418457200906	2.68666635734661	0.689979240144287
902000000	-3.0368728985	-4.88132251987948	-5.25948595082398	-15.6700801102118	2.73410259571343	0.315488390297787
902000000	-2.9845130209	-6.18836943866678	-6.40447090629472	-19.327238088005	2.90183600748518	0.27815982375737
902000000	-2.9321531434	-5.84001009017931	-6.03373000617217	-19.4426104048791	3.1044279738734	1.02960479978542
902000000	-2.8797932658	-4.17672315762962	-4.65536490719956	-13.9915836053687	-3.09621749011831	1.31656395358261
902000000	-2.8274333882	-2.76662866224328	-3.50221898259159	-10.8407168148583	-3.12679056156251	1.23902076948332
902000000	-2.7750735107	-2.16608239669309	-3.03876147763108	-9.56441528079599	3.08338673000379	1.09329434466385
902000000	-2.7227136331	-2.25306868778527	-3.21011205853873	-9.29133329872482	3.02457183255628	0.981823713043116
902000000	-2.6703537556	-2.62149049252504	-3.66674400298376	-9.3192669821259	3.01880787285309	0.968358391858854
902000000	-2.617993878	-2.75354866709593	-3.90303058162464	-9.08844192963748	3.06770571645107	1.03667587891158
902000000	-2.5656340004	-2.48918303923827	-3.70778663599614	-8.603465535705	3.12048910402235	1.09655181196487
902000000	-2.5132741229	-2.20568341984672	-3.41713225095015	-8.34212892773276	3.12932559442354	1.1017736819208
902000000	-2.4609142453	-2.26662960548957	-3.44877976449467	-8.49542205726599	3.09606130841062	1.08883269799111
902000000	-2.4085543678	-2.69891064339364	-3.92740164807891	-8.78280976504034	3.05556164488685	1.12792526791949
902000000	-2.3561944902	-3.21146003618885	-4.6844822710069	-8.62292392740662	3.05383447707477	1.24785102983649
902000000	-2.3038346126	-3.36341347236309	-5.33146968567384	-7.74781276821993	3.12380258677074	1.37620013754861
902000000	-2.2514747351	-2.99594377246139	-5.47668718569935	-6.60945687354003	-3.03517585975723	1.43619399402413
902000000	-2.1991148575	-2.35457441438836	-5.12942973941635	-5.61381854060514	-2.91530790257379	1.42880480652928
902000000	-2.14675498	-1.67340349404302	-4.61483560149957	-4.75368098583992	-2.83485146318689	1.39303002248731
902000000	-2.0943951024	-1.01371306111875	-4.12087297629671	-3.92926626557759	-2.79153099152523	1.36048254500738
902000000	-2.0420352248	-0.404974457453706	-3.64247706997371	-3.19936935413112	-2.77379637922952	1.33416073587692
902000000	-1.9896753473	0.0588134947035578	-3.19204459762798	-2.723556549986	-2.77237629236285	1.29843588937471
902000000	-1.9373154697	0.286984888418809	-2.87703314491543	-2.57485234396016	-2.7795782580416	1.24436694648104
902000000	-1.8849555922	0.291400254423352	-2.80046683743657	-2.63883632290169	-2.78687741251805	1.18442720169678
902000000	-1.8325957146	0.190983198423603	-2.9444072539888	-2.69772861932507	-2.7859266961361	1.14809790907993
902000000	-1.780235837	0.149837686784744	-3.13397689247033	-2.60315750144715	-2.77264737892862	1.15133885084961
902000000	-1.7278759595	0.24741793064714	-3.17194855453963	-2.38905084548156	-2.75140096060449	1.17290613762544
902000000	-1.6755160819	0.397972160308846	-3.02389439049739	-2.23641004895176	-2.73270215333389	1.17587584098978
902000000	-1.6231562044	0.45912190402574	-2.84816509122468	-2.27320668475006	-2.72153615310355	1.14562033629891
902000000	-1.5707963268	0.384394968118638	-2.81328811591545	-2.44627349477781	-2.71331756469975	1.10246643811925
902000000	-1.5184364492	0.226432710923527	-2.94462259116766	-2.62885052050545	-2.69859755733096	1.08450924933895
902000000	-1.4660765717	0.0704053108562065	-3.12431044512972	-2.76299180874546	-2.6728185275004	1.10954605768135
902000000	-1.4137166941	-0.0477380942064304	-3.21887297564898	-2.90294732839751	-2.6415291524537	1.15326695370446
902000000	-1.3613568166	-0.197814444799065	-3.22577296559289	-3.19052734695605	-2.61663840124264	1.1740948624467
902000000	-1.308996939	-0.463288331704461	-3.26331389282069	-3.69456396339441	-2.60534322927949	1.15027265067907
902000000	-1.2566370614	-0.831775523530233	-3.42555388483215	-4.30282384599301	-2.60483669974377	1.09371734702466
902000000	-1.2042771839	-1.22852650017551	-3.69199422280753	-4.86456654723684	-2.60783657324392	1.03316919278413
902000000	-1.1519173063	-1.57802412004877	-3.96643838628187	-5.31438529533428	-2.60940431151363	0.973997795856904
902000000	-1.0995574288	-1.82450422653023	-4.20325665046098	-5.57407830628782	-2.61383352257252	0.88659063441723
902000000	-1.0471975512	-1.89786803833192	-4.46722726906797	-5.39898969083807	-2.6342504805267	0.758932593893723
902000000	-0.9948376736	-1.74648140602576	-4.84057813247869	-4.67457088565355	-2.68426962645734	0.649324955248293
902000000	-0.9424777961	-1.45986540399386	-5.26013331437636	-3.80201544892669	-2.76697276468058	0.627327005712317
902000000	-0.8901179185	-1.22268454322213	-5.49324906854265	-3.25737110074677	-2.8622329882597	0.695148127509497
902000000	-0.837758041	-1.17395708312518	-5.36113383698091	-3.2592515701779	-2.9290362730915	0.802687506755657
902000000	-0.7853981634	-1.37580071805629	-4.92361262379272	-3.90784776900646	-2.94070556023917	0.882242213991066
902000000	-0.7330382858	-1.72739637357315	-4.35588847919658	-5.1563345529602	-2.90814778153051	0.869868404125458
902000000	-0.6806784083	-1.93436428442085	-3.80834546982979	-6.4879052217781	-2.86039685923764	0.737474330119596
902000000	-0.6283185307	-1.85119342148162	-3.36778957132421	-7.15659044667896	-2.817651879479	0.56125714850334
902000000	-0.5759586532	-1.71723669769381	-3.08830260421048	-7.39200919705317	-2.78093472042418	0.454639787281978
902000000	-0.5235987756	-1.81398788687042	-3.03544005846859	-7.91948796928295	-2.73722232136948	0.400610906582894
902000000	-0.47123889804	-2.22246818120597	-3.28838741712272	-8.8451327157199	-2.67298198209381	0.292066712195926
902000000	-0.41887902048	-2.78115397529096	-3.87751672422846	-9.2961096480606	-2.5878799133416	0.0692256580726578
902000000	-0.36651914292	-3.1990374764599	-4.72646885733384	-8.4786187255266	-2.50453617572723	-0.127614188616401
902000000	-0.31415926536	-3.39830574125986	-5.63986916003806	-7.34332022589122	-2.47014018979623	-0.161281557800288
902000000	-0.2617993878	-3.50996663303424	-6.28952744104241	-6.76395609375946	-2.52932880087065	-0.0778145880017564
902000000	-0.20943951024	-3.56802074323443	-6.2699200279598	-6.91030700978559	-2.66450573592993	0.02306771604554
902000000	-0.15707963268	-3.53906139097923	-5.60223668085236	-7.76236825361167	-2.78958119954155	0.0518135928505049
902000000	-0.10471975512	-3.38732100349818	-4.76410791862642	-9.04671945203369	-2.84622380135791	-0.0419209732290763
902000000	-0.05235987756	-3.10554735571541	-4.05387230864192	-10.1793564173344	-2.83492140200821	-0.221456170612813
902000000	-4.4408920985E-16	-2.76800136239224	-3.46977410945813	-11.0300419377986	-2.7791397550137	-0.383150999046004
902000000	0.05235987756	-2.46263142309905	-2.99046695818878	-11.876733370151	0.439729933837939	2.63193992502392
902000000	0.10471975512	-2.28319049311453	-2.74351179043151	-12.258550810462	0.524895719177323	2.46166344124014
902000000	0.15707963268	-2.34760535983032	-2.94234288602218	-11.276170788543	0.613496358837307	2.25943797543708
902000000	0.20943951024	-2.7475530115521	-3.75432158146161	-9.58976385039874	0.696710932584913	2.1447436310642
902000000	0.2617993878	-3.56675232202429	-5.20540757110433	-8.59331561596687	0.743412542171733	2.12380799324687
902000000	0.31415926536	-4.82460722779146	-7.02032017902983	-8.83839464191434	0.682556021078223	2.12326686634943
902000000	0.36651914292	-5.95929225439631	-8.12779299771219	-10.0147680755766	0.449055097956205	2.03841048249551
902000000	0.41887902048	-5.6443211908184	-7.33527791480123	-10.5589195535779	0.1750792630296	1.785686612203
902000000	0.47123889804	-4.02129419832368	-5.66742428642253	-9.03159430932975	0.0415482457359558	1.54418970373347
902000000	0.5235987756	-2.49938289202295	-4.35809505905368	-7.08136530107858	0.0239504830167805	1.48009961305942
902000000	0.5759586532	-1.65256879505223	-3.59650401848966	-6.07936695885066	0.0538871735978684	1.51662473695242
902000000	0.6283185307	-1.3866611133631	-3.16407490992375	-6.12505815689165	0.0881667897761357	1.56116504566285
902000000	0.6806784083	-1.31085470658566	-2.82983525456669	-6.61055199724284	0.109854168214999	1.53696901267826
902000000	0.7330382858	-1.02845415497565	-2.51297948558943	-6.41156072275791	0.126409060038528	1.41904090338213
902000000	0.7853981634	-0.449762946183737	-2.29787143695285	-5.05166627752303	0.15540302357949	1.30859220331907
902000000	0.837758041	0.168427674923967	-2.2864336645911	-3.47891223488165	0.204795649325894	1.28823212645463
902000000	0.8901179185	0.506937231223183	-2.48842846703017	-2.51834851609297	0.26490882739262	1.33900933949606
902000000	0.9424777961	0.462766432453537	-2.83035441222905	-2.28200978847782	0.31360284613913	1.42238866014421
902000000	0.9948376736	0.162432544653722	-3.22730322111264	-2.49893507356027	0.331104646932871	1.50176691171055
902000000	1.0471975512	-0.20696691825656	-3.62683522493885	-2.8430166949395	0.314740874699799	1.54408882910492
902000000	1.0995574288	-0.573689908533425	-4.02886280399549	-3.18048323524216	0.278692826605315	1.53737443326421
902000000	1.1519173063	-1.01183094300268	-4.47213798334013	-3.6144057261666	0.237510663315002	1.49490465659729
902000000	1.2042771839	-1.58223842535458	-4.9741534709846	-4.2417641050427	0.192492786100785	1.42809495254449
902000000	1.2566370614	-2.12576361733766	-5.49963396210834	-4.80059235508303	0.134667520306227	1.33146589225593
902000000	1.308996939	-2.2677845418921	-5.97058692996536	-4.6809689506107	0.0594120687535178	1.21136359097625
902000000	1.3613568166	-1.79775394812123	-6.31845285531825	-3.68955925190765	-0.024487857691979	1.10824295891118
902000000	1.4137166941	-0.99830264196975	-6.51309227287458	-2.43028982883609	-0.101648455883479	1.04730205716356
902000000	1.4660765717	-0.342542603982463	-6.54040196738898	-1.53441559262657	-0.164471471099351	1.01427130365864
902000000	1.5184364492	-0.00935317196851913	-6.40875863605237	-1.13947484638492	-0.217330562261854	0.989086727265641
902000000	1.5707963268	0.186809757753011	-6.20035924073179	-0.94695544159028	-0.267810042911907	0.962966468764601
902000000	1.6231562044	0.539927502324431	-6.05098986863121	-0.534864566251271	-0.317180898466382	0.938504890761399
902000000	1.6755160819	1.12159124931555	-6.05523593111203	0.198039673999741	-0.358206628027215	0.920726654355402
902000000	1.7278759595	1.70932446257387	-6.17480025782832	0.937746686200564	-0.381980744711833	0.905462352485572
902000000	1.780235837	2.02685976870856	-6.24304313433054	1.3264644290854	-0.381611349038345	0.882421511144297
902000000	1.8325957146	1.99327543148502	-6.1257406108471	1.26592667513811	-0.357799244712519	0.84184258177776
902000000	1.8849555922	1.76061060062776	-5.863279754137	0.936575410766932	-0.314918362568256	0.779303774655277
902000000	1.9373154697	1.53195536557691	-5.61465087285072	0.601211753270773	-0.254098358444167	0.699648689661962
902000000	1.9896753473	1.33588722443326	-5.43139119024232	0.309355085818828	-0.176301487986208	0.613137198460445
902000000	2.0420352248	1.00778786461406	-5.17438577708564	-0.189050345534471	-0.0964912516912447	0.523557514781273
902000000	2.0943951024	0.406762075604959	-4.69963890723492	-1.19578340998301	-0.0464326378785495	0.427406294375062
902000000	2.14675498	-0.369239108263286	-4.05702657741756	-2.79361458638158	-0.0482136848081931	0.328511629127257
902000000	2.1991148575	-1.01905213221078	-3.44298417901883	-4.70743282628545	-0.0920069985729989	0.254987086600039
902000000	2.2514747351	-1.38132015435791	-3.03995663525365	-6.36460728218097	-0.149844226137644	0.245281464026012
902000000	2.3038346126	-1.5806149554425	-2.91004257005044	-7.36958173352372	-0.199698566141828	0.273197662458196
902000000	2.3561944902	-1.82796047954053	-2.95749932989822	-8.22932746508406	-0.238978462395458	0.239136263505699
902000000	2.4085543678	-2.21131846341444	-3.01864181349449	-9.91609675522057	-0.283646889676757	0.0749847719747816
902000000	2.4609142453	-2.6252119036637	-3.04585635614705	-12.9725281203603	-0.355031158383808	-0.242689176106952
902000000	2.5132741229	-3.03288731920064	-3.17730115756745	-17.8866491524804	-0.457522605003341	-0.687279623578788
902000000	2.5656340004	-3.63635913009208	-3.64610099080659	-30.1326531039431	-0.573357974620224	-1.2672831782283
902000000	2.617993878	-4.58523252160453	-4.63528399757169	-23.993908448876	-0.669388273043642	1.79211076914269
902000000	2.6703537556	-5.88052881340256	-6.1402305433524	-18.2428273103661	-0.696815278168862	1.36747343896941
902000000	2.7227136331	-7.24308415836841	-7.67047448227063	-17.5246232364024	-0.59947245202899	0.855701639082804
902000000	2.7750735107	-7.64706860766181	-8.1410386804403	-17.3325496066554	-0.39852244566642	0.160529214064961
902000000	2.8274333882	-6.68400599044874	-7.25808771405996	-15.7559912887164	-0.242685345746687	-0.376291318912671
902000000	2.8797932658	-5.41602782629667	-5.95870843197428	-14.7169431140346	-0.198369178366575	-0.62303358407923
902000000	2.9321531434	-4.34463592400807	-4.79618508972362	-14.3992471482015	-0.221721163390974	-0.758678466080815
902000000	2.9845130209	-3.4295717617279	-3.83044265520946	-13.9762634420651	-0.269332821323	-0.968792142801308
902000000	3.0368728985	-2.65893250572586	-3.079591229872	-13.0061083977549	-0.32260706593042	-1.3040032582279
902000000	3.089232776	-2.21443929139594	-2.69113013866388	-12.0460798054542	-0.377949679564498	-1.67516421152977
902000000	3.1415926536	-2.38749083726094	-2.88312112925839	-12.059214148282	-0.429049633718875	-2.04896424903586
915000000	-3.1415926536	-3.12948445364702	-3.69559248893862	-12.2583141244631	2.4174793148492	0.758424724364342
915000000	-3.089232776	-4.29550301477349	-4.77335297376681	-14.1171650740592	2.40558394988616	0.377393414561988
915000000	-3.0368728985	-5.96809305636534	-6.25390027227241	-17.9273242095682	2.51226770624634	0.0486681631888971
915000000	-2.9845130209	-6.74095880070567	-6.81219335588547	-24.6274633402667	2.75522792201766	0.245391852095995
915000000	-2.9321531434	-5.51643375818871	-5.65879131065543	-20.4314560918618	2.95377228184727	1.2695853645847
915000000	-2.8797932658	-3.74169753164851	-4.13723281910039	-14.3439550631477	2.9927504755399	1.24841918540114
915000000	-2.8274333882	-2.65972268905852	-3.26420448016037	-11.522469363783	2.93405892902951	1.06146527478139
915000000	-2.7750735107	-2.47486345357468	-3.2091745025894	-10.5558894299204	2.84935973076306	0.877784642744424
915000000	-2.7227136331	-2.9258083135153	-3.74851315105815	-10.5560715713444	2.79062489211837	0.765848913596004
915000000	-2.6703537556	-3.46938270488444	-4.38188362376928	-10.69315750237	2.7939677407669	0.777890433305651
915000000	-2.617993878	-3.51693610618734	-4.54801965775147	-10.2671873818168	2.84840575703191	0.87568226773488
915000000	-2.5656340004	-3.08345811521399	-4.21772384496006	-9.4689496159802	2.89484031371345	0.949786069121237
915000000	-2.5132741229	-2.7537572837773	-3.93871695889273	-8.97358150428578	2.9008507680437	0.970636267543927
915000000	-2.4609142453	-2.90608818227964	-4.15841973778796	-8.91786748400519	2.88455647670958	0.991775981286624
915000000	-2.4085543678	-3.43594248097335	-4.91265086652339	-8.83829094324476	2.88619547679562	1.07584319175124
915000000	-2.3561944902	-3.7819228938923	-5.79166213535225	-8.0945563366944	2.94534318125767	1.21113402031051
915000000	-2.3038346126	-3.4188884342338	-6.12109745291481	-6.76081578373907	3.06242015490736	1.3097590304734
915000000	-2.2514747351	-2.5462665229344	-5.63764333833108	-5.47697551792343	-3.10562578848678	1.32736684910569
