2
Phi=90.0000000000002(deg)

Frequency	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
902000000	-3.1415926536	-2.38749083726094	-12.059214148282	-2.88312112925839	-2.04896424903586	2.71254301987092
902000000	-3.089232776	-2.84996968763368	-12.0154072103598	-3.41100525479111	-2.0028698498501	2.75896868435088
902000000	-3.0368728985	-3.39471266297719	-12.045434176709	-4.03176558507293	-1.9326115554469	2.80032354786838
902000000	-2.9845130209	-3.74418805567659	-11.8701170796659	-4.47027762536992	-1.81674523541291	2.83042371481423
902000000	-2.9321531434	-3.76057708064109	-11.4435640741512	-4.57236573314608	-1.67692999806081	2.86150250702006
902000000	-2.8797932658	-3.58852086490812	-11.0241423285544	-4.45294461405826	-1.55083100850572	2.90993789516655
902000000	-2.8274333882	-3.48925822831834	-10.8802513693202	-4.36357248438996	-1.45691988016073	2.97585168633754
902000000	-2.7750735107	-3.5758503518972	-10.969868741892	-4.4494902224079	-1.39583532297554	3.04087770536867
902000000	-2.7227136331	-3.75227924920126	-10.9692075052899	-4.66638255112483	-1.36206369868371	3.08133652399949
902000000	-2.6703537556	-3.80797125620827	-10.6009972133022	-4.82766376830551	-1.34505159384608	3.08525282912164
902000000	-2.617993878	-3.64530209040263	-9.97453082102789	-4.79650188183879	-1.3312471977413	3.06536433900139
902000000	-2.5656340004	-3.42111543643303	-9.45454300395434	-4.66623532369535	-1.31188695511978	3.04776446936237
902000000	-2.5132741229	-3.41232853458651	-9.32899453666239	-4.69692072060324	-1.28222738015426	3.0450852435178
902000000	-2.4609142453	-3.74890366630505	-9.60707579651735	-5.05381223512195	-1.23700276833447	3.05146736109909
902000000	-2.4085543678	-4.30522932998123	-10.0339075388836	-5.65645352426652	-1.17136532244534	3.0560273037209
902000000	-2.3561944902	-4.77101651109199	-10.2720432387619	-6.20839120047682	-1.08978327151124	3.05565102168987
902000000	-2.3038346126	-4.90967158741297	-10.2031939957035	-6.43124031969018	-1.01000094731532	3.05684244345105
902000000	-2.2514747351	-4.79893605779926	-10.0265232808366	-6.3484701434001	-0.950325601877632	3.06060742715723
902000000	-2.1991148575	-4.74366825276192	-10.0519382643949	-6.25906421306919	-0.915333457163324	3.05180376849146
902000000	-2.14675498	-4.94542978050989	-10.4009536333525	-6.40078694948021	-0.896624300982682	3.0108154127516
902000000	-2.0943951024	-5.34171286270159	-10.9717392707783	-6.72950737829516	-0.877054246609892	2.93274854434933
902000000	-2.0420352248	-5.66291931461342	-11.4915473327044	-6.97823050157322	-0.834269372445485	2.84307730379911
902000000	-1.9896753473	-5.7002234897309	-11.6967513144945	-6.95766462731308	-0.756306563495038	2.78545554610766
902000000	-1.9373154697	-5.48822786505406	-11.5289100022756	-6.73094173967149	-0.658132739179801	2.77184765064438
902000000	-1.8849555922	-5.19666409269047	-11.1769761807812	-6.45956421619488	-0.568617789404712	2.76932892127186
902000000	-1.8325957146	-4.97361028764849	-10.8907553408123	-6.25803760343161	-0.502674356834754	2.73524345713071
902000000	-1.780235837	-4.82998191884388	-10.7792735620562	-6.10340128872558	-0.454056318963231	2.65771659026403
902000000	-1.7278759595	-4.68642932425265	-10.8178586127443	-5.89949328892865	-0.406123593682494	2.5633818596238
902000000	-1.6755160819	-4.5150708542389	-10.9255186334983	-5.64191598526449	-0.345158393744717	2.48913073076274
902000000	-1.6231562044	-4.3476081862299	-11.0645321088682	-5.38766602820891	-0.271562976700318	2.44440217651354
902000000	-1.5707963268	-4.16700986558982	-11.2397093141196	-5.11560564565624	-0.196322583538087	2.40808101451053
902000000	-1.5184364492	-3.90324181528334	-11.4500419061569	-4.74355826618307	-0.128526465136073	2.35533989389203
902000000	-1.4660765717	-3.50179777507422	-11.6116051168284	-4.23082756422649	-0.0662136328857123	2.28489522501839
902000000	-1.4137166941	-3.00841753362339	-11.5679196596479	-3.66005921909299	-0.000644318092656183	2.21585198062179
902000000	-1.3613568166	-2.54793042959475	-11.2332512657793	-3.17954208733636	0.0699259955410042	2.16215851455113
902000000	-1.308996939	-2.19550498368144	-10.7144383867925	-2.8537500361373	0.135206080096378	2.11783793131381
902000000	-1.2566370614	-1.92183311088113	-10.2377586585018	-2.61422418585366	0.183914476759124	2.06568943143019
902000000	-1.2042771839	-1.65521718346309	-9.97909668085939	-2.34623496579137	0.213389196407589	1.99447461565194
902000000	-1.1519173063	-1.36064978330662	-9.95708511865902	-2.00634186372132	0.227577168140124	1.9093202213193
902000000	-1.0995574288	-1.0853455482433	-10.05720906307	-1.67376467837166	0.229707252299117	1.82512683327402
902000000	-1.0471975512	-0.898451963971384	-10.1347328588078	-1.44980837203551	0.217867719820912	1.75078722406685
902000000	-0.9948376736	-0.801380428511999	-10.1099231930681	-1.34304683000303	0.187126400906102	1.68557571043585
902000000	-0.9424777961	-0.709120680965948	-9.98061851392402	-1.25573180510458	0.138483489406472	1.62546924888753
902000000	-0.8901179185	-0.539827155428855	-9.787638042079	-1.08962515159482	0.0844379588462484	1.56873760620268
902000000	-0.837758041	-0.307709334538778	-9.58255714603772	-0.853871337628294	0.0422975326249368	1.51576906207036
902000000	-0.7853981634	-0.102234181997724	-9.40195615901742	-0.645073641502622	0.0200150416756451	1.46466498421239
902000000	-0.7330382858	0.00292370169608991	-9.26598584564669	-0.544034694877374	0.00859322061791266	1.41019832332659
902000000	-0.6806784083	0.00515283937035928	-9.20040366476908	-0.550379340208699	-0.0109369737594663	1.34799030234424
902000000	-0.6283185307	-0.0514859784401578	-9.24992592199706	-0.607990171290878	-0.0510737553614058	1.27869234970668
902000000	-0.5759586532	-0.149059849292726	-9.45177393005086	-0.691501092630921	-0.107113101539105	1.20780520275517
902000000	-0.5235987756	-0.318726280567337	-9.84047148619324	-0.832843428700171	-0.161463478854117	1.14037952386403
902000000	-0.47123889804	-0.583673751714574	-10.4203241046907	-1.05978376865339	-0.198046482766775	1.07652593249102
902000000	-0.41887902048	-0.889302265289397	-11.1173026086263	-1.32226716227281	-0.214253205754974	1.01296227334248
902000000	-0.36651914292	-1.10236912341846	-11.7390963492694	-1.49463191408833	-0.220164884350589	0.947702487497392
902000000	-0.31415926536	-1.13398435531854	-12.091707806596	-1.49709676814184	-0.224739183950931	0.881656142295081
902000000	-0.2617993878	-1.05004866266395	-12.1269473662136	-1.40292183420621	-0.223265315254272	0.813824159306298
902000000	-0.20943951024	-1.03164407427878	-11.964172466562	-1.39696055432643	-0.207814765392363	0.738707811216491
902000000	-0.15707963268	-1.23185893346858	-11.7769086324112	-1.63288863634658	-0.189709842530519	0.650500753104151
902000000	-0.10471975512	-1.66702312537628	-11.6325912047465	-2.12844070542752	-0.200351806149418	0.549863724787045
902000000	-0.05235987756	-2.23038034398599	-11.4545579932184	-2.78337770732991	-0.26828509986507	0.448304962848493
902000000	-4.4408920985E-16	-2.76800136239224	-11.0300419377986	-3.46977410945813	-0.383150999046004	0.362452898576097
902000000	0.05235987756	-3.19355984168026	-10.3324453829136	-4.12615080198038	2.65061097516246	-2.84440605720824
902000000	0.10471975512	-3.55788800069107	-9.63599408739506	-4.78827461889654	2.59607646352094	-2.90600042186488
902000000	0.15707963268	-3.999838611707	-9.21072999203685	-5.55655058957243	2.59805327040965	-2.9913808470342
902000000	0.20943951024	-4.60810556980578	-9.11045585635728	-6.50996013588407	2.62839463517687	-3.12011447543261
902000000	0.2617993878	-5.35351947465442	-9.24474936360286	-7.63179753100377	2.64812250115933	2.99027409017588
902000000	0.31415926536	-6.12596611069964	-9.45083083929085	-8.84295484560501	2.62495030818254	2.78771374163063
902000000	0.36651914292	-6.77392619447784	-9.53265005898365	-10.0512763984804	2.55109670414526	2.57061831664649
902000000	0.41887902048	-7.1405125983461	-9.34488627613492	-11.1411697885664	2.44839381972447	2.33961860476564
902000000	0.47123889804	-7.18212547663978	-8.92528819718193	-11.9890568919166	2.34809350163135	2.0799802533591
902000000	0.5235987756	-6.98087530045811	-8.43536565172865	-12.4385773479451	2.26793543698156	1.77205147626344
902000000	0.5759586532	-6.65278250418608	-8.03939660700752	-12.2859456119218	2.20899846928833	1.42288288972038
902000000	0.6283185307	-6.28587352404888	-7.84616479286931	-11.4884736285885	2.16660164673261	1.08498982011848
902000000	0.6806784083	-5.96439673736486	-7.89610173964196	-10.4129428951888	2.13339467367638	0.811899112365362
902000000	0.7330382858	-5.74958879231494	-8.15493424947912	-9.46296276906614	2.09784001853206	0.605977083815285
902000000	0.7853981634	-5.59723166250857	-8.49733407404151	-8.72059826653805	2.04598280028861	0.435571960046898
902000000	0.837758041	-5.33492563536793	-8.76288237441311	-7.96423415263707	1.96902610641494	0.274348061128005
902000000	0.8901179185	-4.80498794559814	-8.86876935565757	-6.96811850484215	1.87384680469421	0.121887168508958
902000000	0.9424777961	-4.06631966993293	-8.90092075736096	-5.79588159913671	1.77944922597273	-0.00424086329160267
902000000	0.9948376736	-3.3484710737388	-9.0298606198734	-4.71708317530106	1.69886259532657	-0.0992575929569227
902000000	1.0471975512	-2.82306735488277	-9.34168299921079	-3.91837963562499	1.63142676967898	-0.177564467292216
902000000	1.0995574288	-2.47514601678578	-9.75428420112944	-3.37480330838511	1.56797647567692	-0.258607353495876
902000000	1.1519173063	-2.14241352973908	-10.1034275436301	-2.89919911314481	1.49991750539536	-0.350763127872151
902000000	1.2042771839	-1.67626017426179	-10.3068649955556	-2.31649989974565	1.42472496602034	-0.444436050115529
902000000	1.2566370614	-1.09478367326281	-10.4339509238037	-1.632398272503	1.34379814650664	-0.522019970634442
902000000	1.308996939	-0.533884142974501	-10.5502377412422	-0.989645777541098	1.25784607366844	-0.57731015102115
902000000	1.3613568166	-0.0890261862437156	-10.5944676096588	-0.493906754910785	1.16821667511793	-0.61815764476564
902000000	1.4137166941	0.261313500822678	-10.4022212499836	-0.128423807667273	1.08226128068723	-0.654847880397159
902000000	1.4660765717	0.602244582684291	-9.94242028176505	0.201177649801215	1.00780158173113	-0.690947572239771
902000000	1.5184364492	0.979923668659426	-9.38921280510038	0.561492267433601	0.943625350466346	-0.720725940912519
902000000	1.5707963268	1.35183615150542	-8.9816274372335	0.9297803696692	0.881999644345256	-0.737603524800243
902000000	1.6231562044	1.63290459967443	-8.838134402828	1.22464787137203	0.820811029200143	-0.74178187910342
902000000	1.6755160819	1.78298028790339	-8.90410351226282	1.39544746105567	0.771009249158069	-0.740341276469757
902000000	1.7278759595	1.82860060882808	-9.03618062570098	1.45728813166757	0.750970442279018	-0.740960383506153
902000000	1.780235837	1.82795223792731	-9.12741682627623	1.46463445143863	0.768005095513307	-0.746498682972215
902000000	1.8325957146	1.81633604379307	-9.1866464806259	1.45714815797998	0.806983405126156	-0.754003325663784
902000000	1.8849555922	1.78092761892533	-9.3186829852391	1.42997143793621	0.843109942399864	-0.758585127280066
902000000	1.9373154697	1.69714262149277	-9.60099703573193	1.36248895551339	0.866428833178413	-0.758557350037434
902000000	1.9896753473	1.58068109579118	-9.97419115105124	1.26595078414117	0.887684494811329	-0.755933781033043
902000000	2.0420352248	1.4830423702763	-10.3122943828387	1.18585859557102	0.92703297451454	-0.752204582756552
902000000	2.0943951024	1.43933641409282	-10.5988607143176	1.15884892437919	0.987773948939789	-0.745909165554348
902000000	2.14675498	1.41578926229771	-11.0195591139563	1.1605491192158	1.04556321613773	-0.734707560897661
902000000	2.1991148575	1.33564866269766	-11.8526030513383	1.12205162727155	1.0658267729574	-0.719168954635099
902000000	2.2514747351	1.15988958342372	-13.1534634450653	0.995974474511807	1.01634156603363	-0.704100015753883
902000000	2.3038346126	0.932385353867701	-14.4510193563392	0.804798011946042	0.887481103810075	-0.694458180504664
902000000	2.3561944902	0.753706166335671	-14.922421928185	0.634550231895812	0.741639133258069	-0.690144218943878
902000000	2.4085543678	0.68945324013909	-14.4908075104136	0.55566107845934	0.673415781495178	-0.684673517212374
902000000	2.4609142453	0.715947884921232	-13.7708483123357	0.558567741835726	0.683050577900167	-0.672236700489912
902000000	2.5132741229	0.736160060473162	-13.2539372624946	0.559317537751103	0.71411386982424	-0.655146807115408
902000000	2.5656340004	0.666725701947087	-13.0294397357297	0.477226102852879	0.733081617421333	-0.643160354603838
902000000	2.617993878	0.490555079664819	-12.8820322788387	0.286046815083461	0.73988999193046	-0.644604177587679
902000000	2.6703537556	0.243032873000743	-12.5507567533883	0.00856907377304132	0.749998791647337	-0.656688474965701
902000000	2.7227136331	-0.0568395176859593	-12.0505900368274	-0.340308549634602	0.765293254447785	-0.664801040905773
902000000	2.7750735107	-0.444308768556073	-11.671480662869	-0.784697686038259	0.773200340633919	-0.652739226857185
902000000	2.8274333882	-0.948640038130203	-11.6726378085473	-1.33274345199669	0.764793704452817	-0.615587388732678
902000000	2.8797932658	-1.50443378194713	-12.0744022903855	-1.903060451529	0.751320451810441	-0.565487931041769
902000000	2.9321531434	-1.9558073220605	-12.6275502239577	-2.3447747616772	0.764214891818489	-0.523435423094236
902000000	2.9845130209	-2.17039047687037	-12.941210705776	-2.55018951156423	0.832473910046225	-0.500845328993284
902000000	3.0368728985	-2.17604366012774	-12.7807789996435	-2.57134275854271	0.938445552979453	-0.488122451415769
902000000	3.089232776	-2.17762789969605	-12.3562986129752	-2.61579674891415	1.03251083950339	-0.466790352189578
902000000	3.1415926536	-2.38749083726094	-12.059214148282	-2.88312112925839	1.09262840455394	-0.429049633718875
915000000	-3.1415926536	-3.12948445364702	-12.2583141244631	-3.69559248893862	-2.38316792922545	2.4174793148492
915000000	-3.089232776	-3.49403169901228	-13.1660116357086	-3.98963096853634	-2.31948418580013	2.50800130144727
915000000	-3.0368728985	-3.80700584994938	-13.8580412416054	-4.25894700059333	-2.23737481361399	2.60932217901383
915000000	-2.9845130209	-4.03423652051083	-13.7402806647511	-4.52573608015331	-2.1486805492791	2.67719203268312
915000000	-2.9321531434	-4.12407859392086	-12.9218124017862	-4.73835341507025	-2.05622267004593	2.69901324516932
915000000	-2.8797932658	-4.02824444947383	-12.0007160978493	-4.78285237085833	-1.95026764535247	2.70175930191253
915000000	-2.8274333882	-3.82891342559563	-11.3821585142829	-4.66785525393468	-1.83426475192765	2.72503664006873
915000000	-2.7750735107	-3.68100896479208	-11.1410912582906	-4.54006412082189	-1.73204396158151	2.7800978936481
915000000	-2.7227136331	-3.67643703755618	-11.1461663094923	-4.53338501680895	-1.67610199935524	2.84345304200599
915000000	-2.6703537556	-3.79917668701763	-11.1645076413167	-4.67923470817758	-1.68010784723934	2.88036100478013
915000000	-2.617993878	-3.93647062651089	-10.9951431093133	-4.88849745183757	-1.71423299131791	2.87310794974535
915000000	-2.5656340004	-3.98578394451376	-10.7050481427211	-5.02520874565149	-1.72529961026076	2.83580329087152
915000000	-2.5132741229	-4.01547628026629	-10.5555739138959	-5.10464580410275	-1.68505724329755	2.80538500084566
915000000	-2.4609142453	-4.18886680351546	-10.6796492599722	-5.29219634149818	-1.60027461385015	2.80652351258984
915000000	-2.4085543678	-4.55458296390527	-10.9918922993507	-5.67350249440819	-1.49539740748842	2.83552089211539
915000000	-2.3561944902	-4.95424524691476	-11.2682034641593	-6.11009069121815	-1.39801926133591	2.86823369327292
915000000	-2.3038346126	-5.15030342639034	-11.3249380803288	-6.34953647506157	-1.32606780213233	2.87807333584001
915000000	-2.2514747351	-5.06394298785841	-11.2027361277904	-6.27463676979591	-1.27777409295903	2.85879527378936
915000000	-2.1991148575	-4.90545374335154	-11.1776008078537	-6.07412882625593	-1.2370781825213	2.82544214247243
915000000	-2.14675498	-4.98353549551528	-11.5281121951072	-6.07142914790557	-1.18580881457443	2.79191071560452
