2
Frequency=3300(MHz)

Phi	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
0	-3.1415926536	-14.9283837527902	-15.4969422148835	-24.0396538846383	-0.658745282776117	2.99667840558342
0	-3.089232776	-13.6311286867701	-14.6786502766381	-20.3205802415581	-1.20619038088154	1.70421179568582
0	-3.0368728985	-12.2551783323724	-12.7456879895368	-21.9694925583979	-1.5033769225775	1.89695039142821
0	-2.9845130209	-14.7736401239078	-16.5629286982144	-19.4886509289405	-0.555602214387818	-0.896629640184516
0	-2.9321531434	-8.78119736156655	-13.5156947215207	-10.5605846016942	0.452878696695558	-0.66056982411354
0	-2.8797932658	-10.0972966212568	-25.6391344865504	-10.2202480537535	0.503547607420193	-0.380144996654688
0	-2.8274333882	-10.8953552922329	-15.1028220467014	-12.9681915400166	-2.00537806382335	-0.171426352807256
0	-2.7750735107	-9.83645822951832	-14.141222220937	-11.8508349335878	-1.35606689177522	-0.444570630732083
0	-2.7227136331	-6.4985876531551	-13.3460214539293	-7.50399464222774	-0.367040340293448	-0.602018532221766
0	-2.6703537556	-5.9205909666541	-15.536150012642	-6.42306043704198	0.058208585056328	-0.551449125204306
0	-2.617993878	-8.07418581170516	-23.7405816510999	-8.19361277562027	0.53242600214434	-0.376929172109511
0	-2.5656340004	-8.81081987592838	-21.1524349214035	-9.07179940270896	0.624019346266499	-0.132673595731496
0	-2.5132741229	-6.89732052356704	-15.5319151626129	-7.53692683834111	0.359022575297047	-0.0314406724885337
0	-2.4609142453	-5.82098069996343	-14.9736442909251	-6.38378072570709	0.2615955225647	0.0101456372769335
0	-2.4085543678	-5.83266236686894	-16.7200666015499	-6.20196124969727	0.325934267603445	0.0747732973340815
0	-2.3561944902	-5.59978524029872	-18.660218971774	-5.81992653105866	0.350103672234364	0.108088973879998
0	-2.3038346126	-5.07595260104284	-25.3781133755738	-5.11665328229996	-0.381403145057397	0.079204774695125
0	-2.2514747351	-4.84084268354746	-22.0115273064509	-4.92496577302192	-1.97611847687637	0.0384954404550883
0	-2.1991148575	-5.18285978975242	-25.9181724318224	-5.2196805528199	-2.31900884223774	0.0188230229075371
