Frequency=3500(MHz)

Phi 	Theta	     ETotal.dB	         E(Phi).AmpdB	    E(Theta).AmpdB	     E(Phi).Phase	     E(Theta).Phase
0	-3.1415926536	-9.35696038173099	-9.52689611506395	-23.5166472050052	-2.6500851594684	0.0639654935830351
0	-3.089232776	-9.95095085849787	-11.412827458995	-15.390141050746	-2.63116926083521	-1.12635182924682
0	-3.0368728985	-10.6336881031764	-13.966920547993	-13.3434151449843	-2.62853413150698	-1.24105158577296
0	-2.9845130209	-9.71387880005049	-10.9897100856753	-15.6560995354356	-2.43219759437545	-1.94961344023188
0	-2.9321531434	-6.69298429435852	-8.90085755467975	-10.688354534013	-2.20827878334082	-2.47556573832253
0	-2.8797932658	-6.19892363632055	-12.1487310338729	-7.47216728624441	-1.86380473448243	-2.19893221463408
0	-2.8274333882	-6.00581231081257	-22.6185996700797	-6.10159475065098	-1.17103452124683	-1.86132499345759
0	-2.7750735107	-6.42928943154914	-22.2382202741777	-6.54480868854713	2.90439691139379	-1.81191062333755
0	-2.7227136331	-6.26511457208325	-13.1951486119414	-7.2492601711543	-2.94778079399445	-2.06164810719292
0	-2.6703537556	-5.95546799665903	-13.4019690227857	-6.81749937678471	-2.48957673233641	-2.14584817687027
0	-2.617993878	-5.93953064841083	-16.2798731165629	-6.3608849782694	-1.75739317034953	-1.91800358220873
0	-2.5656340004	-5.13844974979466	-17.1897641686595	-5.41806351647472	-1.56664150265639	-1.72809180266846
0	-2.5132741229	-3.92959205534074	-15.7738642067874	-4.22333081521915	-2.01618815505935	-1.75444606155082
0	-2.4609142453	-2.77233391162303	-13.8409316963033	-3.12591043705782	-2.11838930516456	-1.82519490038652
0	-2.4085543678	-2.32068864559751	-13.1893450648747	-2.69165539479682	-2.07957982427152	-1.83902123163939
0	-2.3561944902	-2.43460930522812	-13.0564395576199	-2.8282829015811	-2.18399005781367	-1.86574177227407
0	-2.3038346126	-2.77525956871582	-14.8791944728611	-3.05139651254554	-2.24380506912268	-1.94874327521007
0	-2.2514747351	-3.39044249710849	-20.1103059253459	-3.48386700524592	-1.74753366883559	-2.00518595019316
0	-2.1991148575	-4.31849722335198	-19.8589621002426	-4.44148808785266	-1.13927501489452	-1.95486372186417
0	-2.14675498	-4.81881092242366	-19.1701654684945	-4.98127095525278	-1.82820793758608	-1.82881548334966
0	-2.0943951024	-4.08685205751039	-17.1613692936097	-4.30626230857586	-2.64491094989066	-1.76877144740158
0	-2.0420352248	-3.54704971533973	-20.3007923427373	-3.63974045390906	2.82949968074506	-1.80839940453418
0	-1.9896753473	-4.08762085596689	-22.1144896054625	-4.15657183291248	1.22907667003724	-1.88157513468716
0	-1.9373154697	-5.54520161495403	-20.180601845693	-5.69719396928302	0.0478730333699661	-1.91229078039789
0	-1.8849555922	-6.64341382293857	-18.2618948135521	-6.95340074409719	-0.782214382548547	-1.80999626833189
0	-1.8325957146	-6.86395429052916	-20.5660738707366	-7.05318852580886	-0.99531601260368	-1.64605486856489
