2
Phi=0(deg)

Frequency	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
902000000	-3.1415926536	-21.1431491029004	-22.6663677941504	-26.4327415387563	0.845700504646327	-0.24920040813667
902000000	-3.089232776	-12.0098097896536	-24.2411648997179	-12.277711209585	0.967652953006159	0.0389477974221011
902000000	-3.0368728985	-8.74720738547264	-25.0544665064304	-8.85005413937172	1.00453374479515	-0.0225481313787511
902000000	-2.9845130209	-7.4665115756226	-24.20266087228	-7.55958262779304	1.02172397217295	-0.125877243695246
902000000	-2.9321531434	-6.3834011920216	-23.022440239797	-6.47860003137128	1.10094194462638	-0.167249077769685
902000000	-2.8797932658	-5.5963027668303	-22.6551696898561	-5.68264184773526	1.19127310959566	-0.164737551744016
902000000	-2.8274333882	-5.53382242120742	-22.8292245566146	-5.61554153466888	1.1915502046672	-0.17354651417579
902000000	-2.7750735107	-5.73947497904547	-22.7508315069651	-5.82677337555337	1.0827767791949	-0.168987899192266
902000000	-2.7227136331	-5.43345132438898	-22.6424978621457	-5.51682746633948	0.994637055781812	-0.12979529594861
902000000	-2.6703537556	-4.98057392081407	-23.3811342445465	-5.04379845972761	0.997162079781337	-0.127095005247113
902000000	-2.617993878	-5.27041137668556	-24.7128430379542	-5.32007310910873	1.02966869493018	-0.191388974105929
902000000	-2.5656340004	-6.27998700814785	-25.8024527894698	-6.32873681997579	0.998427593298508	-0.244677110138065
902000000	-2.5132741229	-7.18217791045516	-27.0393806435386	-7.22729258398353	0.958964942612016	-0.1914013464951
902000000	-2.4609142453	-7.44247424119121	-29.4721120836317	-7.46977563891864	1.08971404103864	-0.105805867362253
902000000	-2.4085543678	-7.74294145117071	-31.1462647456701	-7.76282279195905	1.44667406628711	-0.106721785134533
902000000	-2.3561944902	-8.38680605912205	-30.0227196337321	-8.41670715812959	1.56752113241833	-0.129120816874497
902000000	-2.3038346126	-8.73983912663835	-28.6474317883457	-8.78443069173387	1.45647808881884	-0.0675465744145044
902000000	-2.2514747351	-8.54512580103245	-28.2965722552972	-8.59135850029385	1.37113245739011	-0.00521103107808131
902000000	-2.1991148575	-8.59800691353511	-28.6154843540975	-8.64147878608072	1.24614673549939	-0.0599929446550159
902000000	-2.14675498	-9.26335203114456	-28.6370693188915	-9.31381038259891	0.940648662995063	-0.171547452506484
902000000	-2.0943951024	-10.5141916441224	-28.9692688413105	-10.5766217914232	0.61074897193568	-0.189840230534797
902000000	-2.0420352248	-12.0517277972383	-32.4319499849662	-12.0917001006022	0.485354848291548	-0.0348248843498629
902000000	-1.9896753473	-12.4857817687605	-38.0397372633349	-12.4978875803889	1.24937381498156	0.199297232685243
902000000	-1.9373154697	-11.2112597054841	-32.7878829243527	-11.2415732545044	1.69284803755241	0.286949077974622
902000000	-1.8849555922	-9.87171241994663	-29.8256695802433	-9.91582805239318	1.42466501824406	0.203783208519813
902000000	-1.8325957146	-10.046755156012	-28.8555148963691	-10.1042701279409	1.24080612717425	0.0647266471687133
902000000	-1.780235837	-11.9970218642324	-28.1441014053108	-12.1037805843153	1.25340691418856	0.00650675748604599
902000000	-1.7278759595	-13.2178864090564	-26.721971268496	-13.4161538885402	1.19959069614583	0.22331459054905
902000000	-1.6755160819	-11.2557044342145	-26.1249495851615	-11.3995957210064	0.969937208580739	0.382645042358068
902000000	-1.6231562044	-10.0022069764138	-27.1410488279242	-10.0869552084581	0.730667186203214	0.258195117774423
902000000	-1.5707963268	-11.0576583004201	-28.6513793632087	-11.1339046303451	0.749781048176019	0.0616186465377619
902000000	-1.5184364492	-13.3092850188763	-27.2942622226691	-13.4863404639562	0.912982687877727	0.0741414434928398
902000000	-1.4660765717	-12.994669015282	-25.3963389979321	-13.2519562057743	0.74919641780934	0.363000863653057
902000000	-1.4137166941	-11.3208931485407	-25.4446605779344	-11.4922684196729	0.341639004383744	0.381133939577047
