2
Phi=90.0000000000002(deg)

Frequency	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
902000000	-3.1415926536	-21.1431491029004	-26.4327415387563	-22.6663677941504	2.89239224545312	0.845700504646327
902000000	-3.089232776	-11.802747658754	-24.0211239526927	-12.0714762208681	3.12168427195797	0.306759230896023
902000000	-3.0368728985	-8.43054938683252	-22.293855314211	-8.61274231616735	-2.9705565278753	0.162551902196517
902000000	-2.9845130209	-7.23236033835987	-22.6722480732234	-7.35827492859058	-3.07418301487953	0.0623780620974072
902000000	-2.9321531434	-6.49839248676683	-23.4874292570489	-6.58614526708195	2.80793564995148	0.0186891132625421
902000000	-2.8797932658	-5.83208314463125	-23.4128062212156	-5.90856003786074	2.41257613080464	0.0189886337099569
902000000	-2.8274333882	-5.56070984613457	-24.7660212285622	-5.61317534505096	2.07106865434456	0.034509876040951
902000000	-2.7750735107	-5.5731454495375	-27.9804916301493	-5.59816618835907	1.56738781869163	0.0622975990276713
902000000	-2.7227136331	-5.42021830548196	-32.0021676480675	-5.42976970165959	1.15079299937544	0.0863563355737953
902000000	-2.6703537556	-5.25048554506876	-35.4734444005026	-5.25461311830793	1.78904015739803	0.0740472554458168
902000000	-2.617993878	-5.59912643898163	-30.2512421442562	-5.61403095071386	2.06123234178777	0.0370914605370516
902000000	-2.5656340004	-6.43306735581244	-28.6402085730884	-6.45927209052957	1.65528939170556	0.0271397992404056
902000000	-2.5132741229	-7.05722640300586	-31.3492034830842	-7.07342196899385	1.24975828089203	0.0645932737609467
902000000	-2.4609142453	-7.26677051455821	-41.4505819147284	-7.26842813864899	2.34315829071967	0.090960913188592
902000000	-2.4085543678	-7.73427009025747	-30.1257597585677	-7.75938261430486	2.92056774943613	0.0824310767881823
902000000	-2.3561944902	-8.64619809286161	-27.9754740335903	-8.69717849345603	2.42408219419055	0.0990728244418333
902000000	-2.3038346126	-9.17648433456714	-29.2226919763202	-9.21966814377462	1.7310676665898	0.171117308866971
902000000	-2.2514747351	-9.04282092625487	-32.5048436517725	-9.06243475418922	1.01076582140923	0.214487626793021
902000000	-2.1991148575	-9.18586091434364	-37.8538527359046	-9.19176673679926	0.260778488830359	0.193327050134393
