2
Theta=90.0000000000002(deg)

Frequency	Phi	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
902000000	0	-12.8934332216982	-26.7628167044799	-13.075365954938	-2.72131130539056	-0.0967544375383946
902000000	0.05235987756	-12.7375052252778	-26.3343852025838	-12.9314862568045	-2.71031451011852	-0.117088032163762
902000000	0.10471975512	-12.5754733217823	-25.9548755782394	-12.7796532686375	-2.70200362314304	-0.136120047317553
902000000	0.15707963268	-12.4122403050856	-25.624583925956	-12.6246263489479	-2.69589183547827	-0.153797437250659
902000000	0.20943951024	-12.2487830445206	-25.3389188776368	-12.4673854837093	-2.69167226697089	-0.169955734996033
902000000	0.2617993878	-12.0863794992927	-25.099726573308	-12.3089831310127	-2.68920764156933	-0.18441032752424
902000000	0.31415926536	-11.9323278952986	-24.9035877953138	-12.1571563359281	-2.68832692735542	-0.197276308747373
902000000	0.36651914292	-11.7838009688674	-24.7491566748197	-12.0089433363144	-2.68883937480793	-0.208415732434037
902000000	0.41887902048	-11.6443332091184	-24.6356252023589	-11.8680998835928	-2.69060452689888	-0.217928923553175
902000000	0.47123889804	-11.5172314097849	-24.5627029113068	-11.7381520897317	-2.69352387792185	-0.225883924630024
902000000	0.5235987756	-11.3993517388283	-24.5286648124094	-11.6159412767906	-2.69745586614174	-0.23217460313974
902000000	0.5759586532	-11.2964798313453	-24.5323263492929	-11.5076912689923	-2.70228819214024	-0.237095902422821
902000000	0.6283185307	-11.2051564892339	-24.5722830941882	-11.4099282236548	-2.70815625425548	-0.240630354538044
902000000	0.6806784083	-11.1280587427641	-24.6456853547186	-11.3256947058286	-2.71475322721094	-0.242852299381418
902000000	0.7330382858	-11.061629451274	-24.7540218878231	-11.2512974020396	-2.72194664879462	-0.243862542730379
902000000	0.7853981634	-11.0112454726454	-24.8950941405512	-11.1925604385032	-2.72982606212778	-0.243905258469483
902000000	0.837758041	-10.9704113870526	-25.0656746368372	-11.1429378637425	-2.73815955251143	-0.242896572143891
902000000	0.8901179185	-10.9414686235362	-25.2653297144408	-11.1049800560384	-2.74695667104414	-0.241076515836294
902000000	0.9424777961	-10.9239113766304	-25.4932092205003	-11.0782767668781	-2.75605328972016	-0.238552909262431
902000000	0.9948376736	-10.9142081162431	-25.7480152563338	-11.0592982589691	-2.76508136031898	-0.235412976508611
902000000	1.0471975512	-10.9148133854241	-26.0272053415529	-11.0507461108149	-2.77431822916133	-0.231838610212746
902000000	1.0995574288	-10.9222088143901	-26.328750806827	-11.0491082332637	-2.78313728005151	-0.227946216224828
902000000	1.1519173063	-10.9331754629278	-26.6531458639223	-11.0511181614942	-2.7916087051649	-0.223751863146732
902000000	1.2042771839	-10.9501275359119	-26.9959799196235	-11.0594358064988	-2.79953206050411	-0.219502052977668
902000000	1.2566370614	-10.9699013090061	-27.3604477718142	-11.0707716338588	-2.80655874767804	-0.215250679734555
902000000	1.308996939	-10.9919890301155	-27.7396233511593	-11.0848116331161	-2.81244167925215	-0.211168406418972
902000000	1.3613568166	-11.013362644593	-28.1371352523868	-11.0984083517574	-2.81693700730119	-0.207248567189823
902000000	1.4137166941	-11.0336430229476	-28.5505902294984	-11.11126143097	-2.82001136120914	-0.203668472678533
902000000	1.4660765717	-11.0497851886859	-28.9815721314988	-11.1202748351244	-2.82144295161432	-0.200394146814102
902000000	1.5184364492	-11.0646310760567	-29.427759833342	-11.1284069364484	-2.82049746844676	-0.197572112273524
902000000	1.5707963268	-11.072099996663	-29.8903651254233	-11.1294883889453	-2.81776843770411	-0.195100090555036
902000000	1.6231562044	-11.0782193079099	-30.3722726381985	-11.1296173226365	-2.81247286660888	-0.193157698512814
902000000	1.6755160819	-11.0769346705692	-30.8740286388808	-11.122681420396	-2.80490133061931	-0.191608424049771
902000000	1.7278759595	-11.0683310102993	-31.3981074768949	-11.1087725023514	-2.79496062308177	-0.190419813702059
902000000	1.780235837	-11.0557134707966	-31.9544132138838	-11.0911691586532	-2.78245117520625	-0.189554927301762
902000000	1.8325957146	-11.0361745358106	-32.5449893425731	-11.0669667935907	-2.76754084678991	-0.188875489161331
902000000	1.8849555922	-11.0129110602569	-33.1765798368573	-11.0393802239431	-2.7504624275029	-0.188378230480887
902000000	1.9373154697	-10.9833007253047	-33.869572654826	-11.0057022052554	-2.73087277010415	-0.187821243578215
902000000	1.9896753473	-10.9505357730618	-34.6297074839033	-10.9691909582926	-2.70927896909914	-0.187167989729716
902000000	2.0420352248	-10.914970705214	-35.483847624168	-10.93016414363	-2.68549648581645	-0.186247403378303
